building,room,seat_label,seat_id
理工馆,东楼三楼,53,1985539058995138570
理工馆,东楼三楼,39,1985539058995138571
理工馆,东楼三楼,24,1985539058995138572
理工馆,东楼三楼,21,1985539058995138573
理工馆,东楼三楼,48,1985539058995138574
理工馆,东楼三楼,40,1985539058995138575
理工馆,东楼三楼,7,1985539058995138576
理工馆,东楼三楼,32,1985539058995138577
理工馆,东楼三楼,62,1985539058995138578
理工馆,东楼三楼,61,1985539058995138579
理工馆,东楼三楼,5,1985539058995138580
理工馆,东楼三楼,8,1985539058995138581
理工馆,东楼三楼,13,1985539058995138582
理工馆,东楼三楼,15,1985539058995138583
理工馆,东楼三楼,23,1985539058995138584
理工馆,东楼三楼,30,1985539058999332864
理工馆,东楼三楼,6,1985539058999332865
理工馆,东楼三楼,63,1985539058999332866
理工馆,东楼三楼,29,1985539058999332867
理工馆,东楼三楼,46,1985539058999332868
理工馆,东楼三楼,37,1985539058999332869
理工馆,东楼三楼,55,1985539058999332870
理工馆,东楼三楼,1,1985539058999332871
理工馆,东楼三楼,59,1985539058999332872
理工馆,东楼三楼,18,1985539058999332873
理工馆,东楼三楼,9,1985539058999332874
理工馆,东楼三楼,49,1985539058999332875
理工馆,东楼三楼,27,1985539058999332876
理工馆,东楼三楼,52,1985539058999332877
理工馆,东楼三楼,51,1985539058999332878
理工馆,东楼三楼,43,1985539058999332879
理工馆,东楼三楼,44,1985539058999332880
理工馆,东楼三楼,4,1985539058999332881
理工馆,东楼三楼,11,1985539058999332882
理工馆,东楼三楼,33,1985539058999332883
理工馆,东楼三楼,42,1985539058999332884
理工馆,东楼三楼,28,1985539058999332885
理工馆,东楼三楼,2,1985539058999332886
理工馆,东楼三楼,20,1985539058999332887
理工馆,东楼三楼,58,1985539058999332888
理工馆,东楼三楼,19,1985539058999332889
理工馆,东楼三楼,12,1985539058999332890
理工馆,东楼三楼,35,1985539058999332891
理工馆,东楼三楼,10,1985539058999332892
理工馆,东楼三楼,60,1985539058999332893
理工馆,东楼三楼,41,1985539058999332894
理工馆,东楼三楼,25,1985539058999332895
理工馆,东楼三楼,50,1985539058999332896
理工馆,东楼三楼,17,1985539058999332897
理工馆,东楼三楼,36,1985539058999332898
理工馆,东楼三楼,26,1985539058999332899
理工馆,东楼三楼,3,1985539058999332900
理工馆,东楼三楼,57,1985539058999332901
理工馆,东楼三楼,34,1985539058999332902
理工馆,报刊阅览室,31,1985545566931750912
理工馆,报刊阅览室,30,1985545566931750913
理工馆,报刊阅览室,19,1985545566931750914
理工馆,报刊阅览室,18,1985545566931750915
理工馆,报刊阅览室,7,1985545566931750916
理工馆,报刊阅览室,6,1985545566931750917
理工馆,报刊阅览室,32,1985545566931750918
理工馆,报刊阅览室,29,1985545566931750919
理工馆,报刊阅览室,20,1985545566931750920
理工馆,报刊阅览室,17,1985545566931750921
理工馆,报刊阅览室,8,1985545566931750922
理工馆,报刊阅览室,5,1985545566931750923
理工馆,报刊阅览室,33,1985545566931750924
理工馆,报刊阅览室,28,1985545566931750925
理工馆,报刊阅览室,21,1985545566931750926
理工馆,报刊阅览室,16,1985545566931750927
理工馆,报刊阅览室,9,1985545566931750928
理工馆,报刊阅览室,4,1985545566931750929
理工馆,报刊阅览室,34,1985545566931750930
理工馆,报刊阅览室,27,1985545566931750931
理工馆,报刊阅览室,22,1985545566931750932
理工馆,报刊阅览室,15,1985545566931750933
理工馆,报刊阅览室,10,1985545566931750934
理工馆,报刊阅览室,3,1985545566931750935
理工馆,报刊阅览室,35,1985545566931750936
理工馆,报刊阅览室,26,1985545566931750937
理工馆,报刊阅览室,23,1985545566931750938
理工馆,报刊阅览室,14,1985545566931750939
理工馆,报刊阅览室,11,1985545566931750940
理工馆,报刊阅览室,2,1985545566931750941
理工馆,报刊阅览室,36,1985545566931750942
理工馆,报刊阅览室,25,1985545566931750943
理工馆,报刊阅览室,24,1985545566931750944
理工馆,报刊阅览室,13,1985545566931750945
理工馆,报刊阅览室,12,1985545566931750946
理工馆,报刊阅览室,1,1985545566931750947
理工馆,报刊阅览室,67,1985545566931750948
理工馆,报刊阅览室,66,1985545566931750949
理工馆,报刊阅览室,55,1985545566931750950
理工馆,报刊阅览室,54,1985545566931750951
理工馆,报刊阅览室,43,1985545566931750952
理工馆,报刊阅览室,42,1985545566931750953
理工馆,报刊阅览室,68,1985545566931750954
理工馆,报刊阅览室,65,1985545566931750955
理工馆,报刊阅览室,56,1985545566931750956
理工馆,报刊阅览室,53,1985545566931750957
理工馆,报刊阅览室,44,1985545566931750958
理工馆,报刊阅览室,41,1985545566931750959
理工馆,报刊阅览室,69,1985545566931750960
理工馆,报刊阅览室,64,1985545566931750961
理工馆,报刊阅览室,57,1985545566931750962
理工馆,报刊阅览室,52,1985545566931750963
理工馆,报刊阅览室,45,1985545566931750964
理工馆,报刊阅览室,40,1985545566931750965
理工馆,报刊阅览室,70,1985545566931750966
理工馆,报刊阅览室,63,1985545566931750967
理工馆,报刊阅览室,58,1985545566931750968
理工馆,报刊阅览室,51,1985545566931750969
理工馆,报刊阅览室,46,1985545566931750970
理工馆,报刊阅览室,39,1985545566931750971
理工馆,报刊阅览室,71,1985545566931750972
理工馆,报刊阅览室,62,1985545566931750973
理工馆,报刊阅览室,59,1985545566931750974
理工馆,报刊阅览室,50,1985545566931750975
理工馆,报刊阅览室,47,1985545566931750976
理工馆,报刊阅览室,38,1985545566931750977
理工馆,报刊阅览室,72,1985545566931750978
理工馆,报刊阅览室,61,1985545566931750979
理工馆,报刊阅览室,60,1985545566931750980
理工馆,报刊阅览室,49,1985545566931750981
理工馆,报刊阅览室,48,1985545566931750982
理工馆,报刊阅览室,37,1985545566931750983
理工馆,报刊阅览室,73,1985545566931750984
理工馆,报刊阅览室,74,1985545566931750985
理工馆,报刊阅览室,75,1985545566931750986
理工馆,报刊阅览室,76,1985545566931750987
理工馆,报刊阅览室,77,1985545566931750988
理工馆,报刊阅览室,78,1985545566931750989
理工馆,报刊阅览室,79,1985545566931750990
理工馆,报刊阅览室,80,1985545566931750991
理工馆,报刊阅览室,81,1985545566931750992
理工馆,报刊阅览室,82,1985545566931750993
理工馆,报刊阅览室,83,1985545566931750994
理工馆,报刊阅览室,84,1985545566931750995
理工馆,报刊阅览室,85,1985545566931750996
理工馆,报刊阅览室,86,1985545566931750997
理工馆,报刊阅览室,87,1985545566931750998
理工馆,报刊阅览室,88,1985545566931750999
理工馆,报刊阅览室,89,1985545566931751000
理工馆,报刊阅览室,90,1985545566931751001
理工馆,报刊阅览室,91,1985545566931751002
理工馆,报刊阅览室,92,1985545566931751003
理工馆,报刊阅览室,93,1985545566931751004
理工馆,报刊阅览室,94,1985545566931751005
理工馆,逸夫楼二楼,30,1985587076997943296
理工馆,逸夫楼二楼,8,1985587076997943297
理工馆,逸夫楼二楼,29,1985587076997943298
理工馆,逸夫楼二楼,13,1985587076997943299
理工馆,逸夫楼二楼,16,1985587076997943300
理工馆,逸夫楼二楼,39,1985587076997943301
理工馆,逸夫楼二楼,24,1985587076997943302
理工馆,逸夫楼二楼,15,1985587076997943303
理工馆,逸夫楼二楼,7,1985587076997943304
理工馆,逸夫楼二楼,32,1985587076997943305
理工馆,逸夫楼二楼,38,1985587076997943306
理工馆,逸夫楼二楼,22,1985587076997943307
理工馆,逸夫楼二楼,31,1985587076997943308
理工馆,逸夫楼二楼,5,1985587076997943309
理工馆,逸夫楼二楼,40,1985587076997943310
理工馆,逸夫楼二楼,37,1985587076997943311
理工馆,逸夫楼二楼,14,1985587076997943312
理工馆,逸夫楼二楼,6,1985587076997943313
理工馆,逸夫楼二楼,23,1985587076997943314
理工馆,逸夫楼二楼,21,1985587076997943315
理工馆,逸夫楼二楼,9,1985587076997943316
理工馆,逸夫楼二楼,20,1985587076997943317
理工馆,逸夫楼二楼,26,1985587076997943318
理工馆,逸夫楼二楼,3,1985587076997943319
理工馆,逸夫楼二楼,33,1985587076997943320
理工馆,逸夫楼二楼,27,1985587076997943321
理工馆,逸夫楼二楼,36,1985587076997943322
理工馆,逸夫楼二楼,12,1985587076997943323
理工馆,逸夫楼二楼,34,1985587076997943324
理工馆,逸夫楼二楼,18,1985587076997943325
理工馆,逸夫楼二楼,11,1985587076997943326
理工馆,逸夫楼二楼,1,1985587076997943327
理工馆,逸夫楼二楼,4,1985587076997943328
理工馆,逸夫楼二楼,19,1985587076997943329
理工馆,逸夫楼二楼,35,1985587076997943330
理工馆,逸夫楼二楼,10,1985587076997943331
理工馆,逸夫楼二楼,28,1985587076997943332
理工馆,逸夫楼二楼,25,1985587076997943333
理工馆,逸夫楼二楼,17,1985587076997943334
理工馆,逸夫楼二楼,2,1985587076997943335
理工馆,逸夫楼二楼,67,1985587076997943336
理工馆,逸夫楼二楼,44,1985587076997943337
理工馆,逸夫楼二楼,45,1985587076997943338
理工馆,逸夫楼二楼,47,1985587076997943339
理工馆,逸夫楼二楼,49,1985587076997943340
理工馆,逸夫楼二楼,48,1985587076997943341
理工馆,逸夫楼二楼,62,1985587076997943342
理工馆,逸夫楼二楼,63,1985587076997943343
理工馆,逸夫楼二楼,65,1985587076997943344
理工馆,逸夫楼二楼,41,1985587076997943345
理工馆,逸夫楼二楼,61,1985587076997943346
理工馆,逸夫楼二楼,66,1985587076997943347
理工馆,逸夫楼二楼,42,1985587076997943348
理工馆,逸夫楼二楼,60,1985587076997943349
理工馆,逸夫楼二楼,64,1985587076997943350
理工馆,逸夫楼二楼,59,1985587076997943351
理工馆,逸夫楼二楼,46,1985587076997943352
理工馆,逸夫楼二楼,43,1985587076997943353
理工馆,逸夫楼二楼,72,1985587076997943354
理工馆,逸夫楼二楼,76,1985587076997943355
理工馆,逸夫楼二楼,73,1985587076997943356
理工馆,逸夫楼二楼,69,1985587076997943357
理工馆,逸夫楼二楼,57,1985587076997943358
理工馆,逸夫楼二楼,68,1985587076997943359
理工馆,逸夫楼二楼,52,1985587076997943360
理工馆,逸夫楼二楼,56,1985587076997943361
理工馆,逸夫楼二楼,51,1985587076997943362
理工馆,逸夫楼二楼,53,1985587076997943363
理工馆,逸夫楼二楼,55,1985587076997943364
理工馆,逸夫楼二楼,50,1985587076997943365
理工馆,逸夫楼二楼,71,1985587076997943366
理工馆,逸夫楼二楼,54,1985587076997943367
理工馆,逸夫楼二楼,58,1985587076997943368
理工馆,逸夫楼二楼,70,1985587076997943369
理工馆,逸夫楼二楼,75,1985587076997943370
理工馆,逸夫楼二楼,74,1985587076997943371
理工馆,逸夫楼二楼,146,1985587076997943372
理工馆,逸夫楼二楼,124,1985587076997943373
理工馆,逸夫楼二楼,145,1985587076997943374
理工馆,逸夫楼二楼,129,1985587076997943375
理工馆,逸夫楼二楼,132,1985587076997943376
理工馆,逸夫楼二楼,155,1985587076997943377
理工馆,逸夫楼二楼,140,1985587076997943378
理工馆,逸夫楼二楼,131,1985587076997943379
理工馆,逸夫楼二楼,123,1985587076997943380
理工馆,逸夫楼二楼,148,1985587076997943381
理工馆,逸夫楼二楼,154,1985587076997943382
理工馆,逸夫楼二楼,138,1985587076997943383
理工馆,逸夫楼二楼,147,1985587076997943384
理工馆,逸夫楼二楼,121,1985587076997943385
理工馆,逸夫楼二楼,156,1985587076997943386
理工馆,逸夫楼二楼,153,1985587076997943387
理工馆,逸夫楼二楼,130,1985587076997943388
理工馆,逸夫楼二楼,122,1985587076997943389
理工馆,逸夫楼二楼,139,1985587076997943390
理工馆,逸夫楼二楼,137,1985587076997943391
理工馆,逸夫楼二楼,125,1985587076997943392
理工馆,逸夫楼二楼,136,1985587076997943393
理工馆,逸夫楼二楼,142,1985587076997943394
理工馆,逸夫楼二楼,119,1985587076997943395
理工馆,逸夫楼二楼,149,1985587076997943396
理工馆,逸夫楼二楼,143,1985587076997943397
理工馆,逸夫楼二楼,152,1985587076997943398
理工馆,逸夫楼二楼,128,1985587076997943399
理工馆,逸夫楼二楼,150,1985587076997943400
理工馆,逸夫楼二楼,134,1985587076997943401
理工馆,逸夫楼二楼,127,1985587076997943402
理工馆,逸夫楼二楼,117,1985587076997943403
理工馆,逸夫楼二楼,120,1985587076997943404
理工馆,逸夫楼二楼,135,1985587076997943405
理工馆,逸夫楼二楼,151,1985587076997943406
理工馆,逸夫楼二楼,126,1985587076997943407
理工馆,逸夫楼二楼,144,1985587076997943408
理工馆,逸夫楼二楼,141,1985587076997943409
理工馆,逸夫楼二楼,133,1985587076997943410
理工馆,逸夫楼二楼,118,1985587076997943411
理工馆,逸夫楼二楼,106,1985587076997943412
理工馆,逸夫楼二楼,84,1985587076997943413
理工馆,逸夫楼二楼,105,1985587076997943414
理工馆,逸夫楼二楼,89,1985587076997943415
理工馆,逸夫楼二楼,92,1985587076997943416
理工馆,逸夫楼二楼,115,1985587076997943417
理工馆,逸夫楼二楼,100,1985587076997943418
理工馆,逸夫楼二楼,91,1985587076997943419
理工馆,逸夫楼二楼,83,1985587076997943420
理工馆,逸夫楼二楼,108,1985587076997943421
理工馆,逸夫楼二楼,114,1985587076997943422
理工馆,逸夫楼二楼,98,1985587076997943423
理工馆,逸夫楼二楼,107,1985587076997943424
理工馆,逸夫楼二楼,81,1985587076997943425
理工馆,逸夫楼二楼,116,1985587076997943426
理工馆,逸夫楼二楼,113,1985587076997943427
理工馆,逸夫楼二楼,90,1985587076997943428
理工馆,逸夫楼二楼,82,1985587076997943429
理工馆,逸夫楼二楼,99,1985587076997943430
理工馆,逸夫楼二楼,97,1985587076997943431
理工馆,逸夫楼二楼,85,1985587076997943432
理工馆,逸夫楼二楼,96,1985587076997943433
理工馆,逸夫楼二楼,102,1985587076997943434
理工馆,逸夫楼二楼,79,1985587076997943435
理工馆,逸夫楼二楼,109,1985587076997943436
理工馆,逸夫楼二楼,103,1985587076997943437
理工馆,逸夫楼二楼,112,1985587076997943438
理工馆,逸夫楼二楼,88,1985587076997943439
理工馆,逸夫楼二楼,110,1985587076997943440
理工馆,逸夫楼二楼,94,1985587076997943441
理工馆,逸夫楼二楼,87,1985587076997943442
